contract number,director,contract date,client enterprise
CSE0000035,Audrey Evans,2019-07-03,Royal Philips Electronics
CSE0000036,Kong Yibo,2021-11-29,China North Industries Group Corporation
CSE0000037,Miriam Evans,2001-04-11,Johnson & Johnson
CSE0000038,Steven Edwards,2003-02-02,Samsung Electronics
CSE0000039,Audrey Evans,2000-05-18,Nestlиж
CSE0000040,Audrey Evans,2010-05-16,Deutsche Bank
CSE0000041,Miriam Evans,2013-01-20,Hewlett-Packard
CSE0000042,Miriam Evans,2006-06-30,Safeway
CSE0000043,Audrey Evans,2018-03-27,ABN AMRO Holding
CSE0000044,Steven Edwards,2006-11-22,Honda Motor
CSE0000045,Audrey Evans,2003-09-11,Santander Central Hispano Group
CSE0000046,Steven Edwards,2004-10-27,NEC
CSE0000047,Miriam Evans,2007-04-03,J.C. Penney
CSE0000048,Miriam Evans,2000-01-25,Berkshire Hathaway
CSE0000049,Kong Yibo,2017-12-16,Meituan
CSE0000050,Miriam Evans,2019-08-30,Berkshire Hathaway
CSE0000051,Miriam Evans,2017-12-04,Duke Energy
CSE0000052,Miriam Evans,2002-05-11,Goldman Sachs Group
CSE0000053,Miriam Evans,2001-03-09,Pfizer
CSE0000054,Steven Edwards,2007-10-07,Samsung Electronics
CSE0000055,Miriam Evans,2020-11-04,Fannie Mae
CSE0000056,Audrey Evans,2008-01-09,BNP Paribas
CSE0000057,Miriam Evans,2013-07-20,Dynegy
CSE0000058,Miriam Evans,2009-07-07,Exxon Mobil
CSE0000059,Audrey Evans,2012-09-14,Rwe Group
CSE0000060,Audrey Evans,2016-01-22,HypoVereinsbank
CSE0000061,Miriam Evans,2000-12-14,Morgan Stanley Dean Witter
CSE0000062,Audrey Evans,2000-04-27,Total Fina Elf
CSE0000063,Miriam Evans,2011-05-31,Fannie Mae
CSE0000064,Miriam Evans,2019-06-12,Procter & Gamble
CSE0000065,Miriam Evans,2012-11-22,Reliant Energy
CSE0000066,Miriam Evans,2013-11-26,Johnson & Johnson
CSE0000067,Audrey Evans,2020-01-09,Peugeot
CSE0000068,Audrey Evans,2020-07-12,DaimlerChrysler
CSE0000069,Audrey Evans,2015-08-15,L.M. Ericsson
CSE0000070,Audrey Evans,2022-01-04,Credit Suisse
CSE0000071,Audrey Evans,2015-03-04,Alcatel
CSE0000072,Miriam Evans,2014-01-03,Goldman Sachs Group
CSE0000073,Audrey Evans,2008-07-06,Rwe Group
CSE0000074,Steven Edwards,2016-03-15,Nippon Telegraph & Telephone
CSE0000075,Steven Edwards,2010-08-29,Tokyo Electric Power
CSE0000076,Miriam Evans,2016-05-10,Sears Roebuck
CSE0000077,Miriam Evans,2009-08-18,Pfizer
CSE0000078,Steven Edwards,2016-08-28,Hyundai
CSE0000079,Miriam Evans,2005-08-08,General Motors
CSE0000080,Steven Edwards,2012-05-07,Samsung Electronics
CSE0000081,Audrey Evans,2001-02-05,BMW
CSE0000082,Kong Yibo,2003-07-18,Meituan
CSE0000083,Steven Edwards,2011-03-05,Dai-ichi Mutual Life Insurance
CSE0000084,Steven Edwards,2011-08-18,SK
CSE0000085,Miriam Evans,2009-03-08,Freddie Mac
CSE0000086,Miriam Evans,2006-07-18,Philip Morris
CSE0000087,Steven Edwards,2015-10-01,Toshiba
CSE0000088,Kong Yibo,2003-11-10,China North Industries Group Corporation
CSE0000089,Miriam Evans,2003-08-21,General Motors
CSE0000090,Steven Edwards,2002-08-08,Honda Motor
CSE0000091,Miriam Evans,2019-05-20,Delphi Automotive Systems
CSE0000092,Audrey Evans,2017-05-07,Alcatel
CSE0000093,Audrey Evans,2014-10-08,Metro
CSE0000094,Steven Edwards,2021-06-20,NEC
CSE0000095,Miriam Evans,2012-04-29,Chevron
CSE0000096,Audrey Evans,2015-09-16,Renault
CSE0000097,Miriam Evans,2000-07-15,Texaco
CSE0000098,Steven Edwards,2009-10-21,Samsung
CSE0000099,Miriam Evans,2002-05-31,Exxon Mobil
CSE0000100,Miriam Evans,2014-08-16,Lucent Technologies
CSE0000101,Kong Yibo,2019-06-05,China Construction Bank
CSE0000102,Miriam Evans,2013-04-24,Duke Energy
CSE0000103,Kong Yibo,2016-09-20,Industrial and Commercial Bank of China
CSE0000104,Xu Zhuyu,2018-08-08,MiHoYo
CSE0000105,Miriam Evans,2018-06-22,Sears Roebuck
CSE0000106,Audrey Evans,2019-05-14,Thyssen Krupp
CSE0000107,Audrey Evans,2006-07-01,Munich Re Group
CSE0000108,Audrey Evans,2000-04-09,Munich Re Group
CSE0000109,Audrey Evans,2020-08-16,Unilever
CSE0000110,Miriam Evans,2014-04-21,Duke Energy
CSE0000111,Audrey Evans,2009-01-23,ABN AMRO Holding
CSE0000112,Audrey Evans,2015-07-15,ENI
CSE0000113,Steven Edwards,2003-08-07,Nippon Life Insurance
CSE0000114,Audrey Evans,2000-09-17,Munich Re Group
CSE0000115,Miriam Evans,2011-02-16,Kmart
CSE0000116,Audrey Evans,2013-06-16,BNP Paribas
CSE0000117,Audrey Evans,2008-06-29,Royal Bank of Scotland
CSE0000118,Miriam Evans,2003-08-30,Verizon Communications
CSE0000119,Steven Edwards,2016-07-19,Matsushita Electric Industrial
CSE0000120,Steven Edwards,2020-09-16,NEC
CSE0000121,Steven Edwards,2004-03-05,Toshiba
CSE0000122,Audrey Evans,2007-06-19,Munich Re Group
CSE0000123,Audrey Evans,2020-09-27,BMW
CSE0000124,Kong Yibo,2010-04-22,China North Industries Group Corporation
CSE0000125,Audrey Evans,2020-07-16,Allianz
CSE0000126,Audrey Evans,2020-10-01,Credit Suisse
CSE0000127,Steven Edwards,2016-01-09,Tokyo Electric Power
CSE0000128,Audrey Evans,2016-07-20,ENI
CSE0000129,Miriam Evans,2002-03-10,Bank of America Corp.
CSE0000130,Miriam Evans,2011-06-12,Delphi Automotive Systems
CSE0000131,Miriam Evans,2003-11-06,State Farm Insurance Cos.
CSE0000132,Audrey Evans,2004-09-02,AXA
CSE0000133,Tao Yibo,2016-05-06,Chengdu AIG
CSE0000134,Kong Yibo,2007-12-20,State Power Corporation
CSE0000135,Audrey Evans,2020-07-16,BT
CSE0000136,Audrey Evans,2019-01-07,Credit Suisse
CSE0000137,Miriam Evans,2004-01-17,Exxon Mobil
CSE0000138,Miriam Evans,2012-12-24,Pemex
CSE0000139,Miriam Evans,2014-11-11,McKesson HBOC
CSE0000140,Miriam Evans,2007-04-17,State Farm Insurance Cos.
CSE0000141,Steven Edwards,2020-05-25,Mizuho Holdings
CSE0000142,Steven Edwards,2007-11-17,Toyota Motor
CSE0000143,Audrey Evans,2013-12-19,L.M. Ericsson
CSE0000144,Miriam Evans,2004-10-14,Duke Energy
CSE0000145,Audrey Evans,2001-08-06,Renault
CSE0000146,Steven Edwards,2001-05-26,Toshiba
CSE0000147,Audrey Evans,2017-03-19,Royal Dutch/Shell Group
CSE0000148,Miriam Evans,2014-04-27,Exxon Mobil
CSE0000149,Miriam Evans,2010-11-01,Safeway
CSE0000150,Miriam Evans,2010-10-30,Nortel Networks
CSE0000151,Steven Edwards,2000-07-01,Nippon Telegraph & Telephone
CSE0000152,Steven Edwards,2008-05-23,NEC
CSE0000153,Steven Edwards,2012-09-27,NEC
CSE0000154,Audrey Evans,2020-02-25,Munich Re Group
CSE0000155,Steven Edwards,2018-12-02,Sumitomo
CSE0000156,Audrey Evans,2007-05-17,Prudential
CSE0000157,Kong Yibo,2010-03-18,Xiaomi
CSE0000158,Steven Edwards,2004-03-12,Mizuho Holdings
CSE0000159,Miriam Evans,2004-12-07,Goldman Sachs Group
CSE0000160,Audrey Evans,2011-03-11,ENI
CSE0000161,Miriam Evans,2017-06-25,J.C. Penney
CSE0000162,Audrey Evans,2017-05-16,Credit Suisse
CSE0000163,Miriam Evans,2008-02-18,Conoco
CSE0000164,Miriam Evans,2009-05-14,American International Group
CSE0000165,Audrey Evans,2019-01-31,Peugeot
CSE0000166,Audrey Evans,2001-01-29,Koninklijke Ahold
CSE0000167,Miriam Evans,2003-11-10,Safeway
CSE0000168,Audrey Evans,2003-11-21,Thyssen Krupp
CSE0000169,Miriam Evans,2008-12-04,Citigroup
CSE0000170,Kong Yibo,2012-08-30,Agricultural Bank of China
CSE0000171,Miriam Evans,2019-03-06,Lucent Technologies
CSE0000172,Miriam Evans,2017-03-12,WorldCom
CSE0000173,Steven Edwards,2013-11-05,Sumitomo
CSE0000174,Audrey Evans,2002-09-20,HypoVereinsbank
CSE0000175,Miriam Evans,2019-12-08,Enron
CSE0000176,Audrey Evans,2018-01-28,Ing Group
CSE0000177,Audrey Evans,2008-12-10,CGNU
CSE0000178,Miriam Evans,2019-04-20,Exxon Mobil
CSE0000179,Yang Penglong,2018-07-06,OPPO
CSE0000180,Miriam Evans,2011-06-25,General Electric
CSE0000181,Miriam Evans,2009-10-21,Costco Wholesale
CSE0000182,Miriam Evans,2018-07-02,Allstate
CSE0000183,Steven Edwards,2011-09-25,Meiji Life Insurance
CSE0000184,Miriam Evans,2014-02-24,Target
CSE0000185,Miriam Evans,2002-09-18,Cardinal Health
CSE0000186,Miriam Evans,2006-09-09,Safeway
CSE0000187,Steven Edwards,2007-06-29,Honda Motor
CSE0000188,Audrey Evans,2007-12-04,Royal Philips Electronics
CSE0000189,Steven Edwards,2007-12-01,Hitachi
CSE0000190,Miriam Evans,2014-10-06,PDVSA
CSE0000191,Yang Penglong,2011-06-25,Netease
CSE0000192,Audrey Evans,2010-09-05,Thyssen Krupp
CSE0000193,Xu Zhuyu,2008-05-31,MiHoYo
CSE0000194,Audrey Evans,2018-01-13,Repsol YPF
CSE0000195,Audrey Evans,2019-04-09,ABN AMRO Holding
CSE0000196,Steven Edwards,2013-07-21,Sumitomo
CSE0000197,Audrey Evans,2018-06-08,Deutsche Post
CSE0000198,Miriam Evans,2018-06-12,State Farm Insurance Cos.
CSE0000199,Miriam Evans,2016-06-05,J.C. Penney
CSE0000200,Steven Edwards,2018-05-01,Mitsubishi
CSE0000201,Xu Zhuyu,2005-01-25,MiHoYo
CSE0000202,Kong Yibo,2012-07-27,Sina
CSE0000203,Audrey Evans,2006-06-11,Total Fina Elf
CSE0000204,Miriam Evans,2017-10-14,J.C. Penney
CSE0000205,Steven Edwards,2010-05-09,Tokyo Electric Power
CSE0000206,Miriam Evans,2009-06-30,TIAA-CREF
CSE0000207,Steven Edwards,2003-12-01,Mitsubishi Electric
CSE0000208,Miriam Evans,2014-06-13,Citigroup
CSE0000209,Miriam Evans,2020-03-03,Kmart
CSE0000210,Miriam Evans,2002-09-15,Compaq Computer
CSE0000211,Audrey Evans,2020-12-04,BP
CSE0000212,Miriam Evans,2003-08-29,Pfizer
CSE0000213,Xu Zhuyu,2016-10-04,Bilibili
CSE0000214,Miriam Evans,2003-03-01,Hewlett-Packard
CSE0000215,Audrey Evans,2010-06-01,Rwe Group
CSE0000216,Yang Penglong,2006-01-06,Netease
CSE0000217,Miriam Evans,2016-02-16,Exxon Mobil
CSE0000218,Kong Yibo,2021-04-28,Agricultural Bank of China
CSE0000219,Audrey Evans,2009-07-08,BMW
CSE0000220,Audrey Evans,2002-02-09,Royal Dutch/Shell Group
CSE0000221,Audrey Evans,2006-02-16,HSBC Holdings
CSE0000222,Miriam Evans,2001-02-08,Texaco
CSE0000223,Kong Yibo,2020-11-16,China North Industries Group Corporation
CSE0000224,Audrey Evans,2006-12-12,Carrefour
CSE0000225,Miriam Evans,2020-07-04,Hewlett-Packard
CSE0000226,Miriam Evans,2016-05-07,General Motors
CSE0000227,Miriam Evans,2022-02-19,USX
CSE0000228,Kong Yibo,2006-07-06,Sinopec
CSE0000229,Miriam Evans,2000-05-07,Merck
CSE0000230,Miriam Evans,2006-04-25,Hewlett-Packard
CSE0000231,Miriam Evans,2008-02-12,General Electric
CSE0000232,Audrey Evans,2000-01-11,DaimlerChrysler
CSE0000233,Xu Zhuyu,2020-09-12,Pinduoduo
CSE0000234,Miriam Evans,2018-09-06,Delphi Automotive Systems
CSE0000235,Kong Yibo,2013-03-22,Meituan
CSE0000236,Kong Yibo,2006-06-14,Agricultural Bank of China
CSE0000237,Miriam Evans,2015-03-07,General Electric
CSE0000238,Miriam Evans,2022-01-26,AT&T
CSE0000239,Kong Yibo,2014-04-20,China North Industries Group Corporation
CSE0000240,Steven Edwards,2019-07-16,Nippon Life Insurance
CSE0000241,Audrey Evans,2018-04-09,Deutsche Telekom
CSE0000242,Steven Edwards,2005-09-29,Hyundai
CSE0000243,Audrey Evans,2018-05-04,BMW
CSE0000244,Xu Zhuyu,2020-11-19,Bilibili
CSE0000245,Steven Edwards,2003-11-09,Nippon Life Insurance
CSE0000246,Audrey Evans,2005-11-17,Robert Bosch
CSE0000247,Audrey Evans,2019-01-11,Electricite De France
CSE0000248,Steven Edwards,2014-06-23,Mitsubishi Electric
CSE0000249,Yang Penglong,2013-08-15,OPPO
CSE0000250,Audrey Evans,2011-08-16,Allianz
CSE0000251,Miriam Evans,2006-12-25,TIAA-CREF
CSE0000252,Miriam Evans,2021-07-27,Morgan Stanley Dean Witter
CSE0000253,Kong Yibo,2001-10-31,Agricultural Bank of China
CSE0000254,Audrey Evans,2007-12-21,Rwe Group
CSE0000255,Tao Yibo,2015-04-09,Chengdu AIG
CSE0000256,Audrey Evans,2017-05-20,Tesco
CSE0000257,Audrey Evans,2009-07-18,Renault
CSE0000258,Miriam Evans,2015-01-12,Merck
CSE0000259,Miriam Evans,2008-03-08,WorldCom
CSE0000260,Kong Yibo,2019-01-11,China Construction Bank
CSE0000261,Steven Edwards,2000-06-26,Mitsubishi Motors
CSE0000262,Steven Edwards,2009-10-03,Toyota Motor
CSE0000263,Steven Edwards,2000-01-03,SK
CSE0000264,Audrey Evans,2012-08-20,Unilever
CSE0000265,Kong Yibo,2005-01-22,Industrial and Commercial Bank of China
CSE0000266,Miriam Evans,2016-02-11,Goldman Sachs Group
CSE0000267,Audrey Evans,2017-11-07,Nestlиж
CSE0000268,Miriam Evans,2019-05-16,Nortel Networks
CSE0000269,Miriam Evans,2016-04-20,J.P. Morgan Chase
CSE0000270,Miriam Evans,2019-10-22,Procter & Gamble
CSE0000271,Kong Yibo,2017-10-18,China Petroleum
CSE0000272,Kong Yibo,2020-03-23,Agricultural Bank of China
CSE0000273,Steven Edwards,2021-03-21,Samsung Electronics
CSE0000274,Miriam Evans,2010-11-27,Intl. Business Machines
CSE0000275,Audrey Evans,2021-02-23,Ing Group
CSE0000276,Miriam Evans,2005-07-01,Allstate
CSE0000277,Yang Penglong,2000-12-31,Ping An Insurance (Group) Company Of China
CSE0000278,Steven Edwards,2008-12-05,Itochu
CSE0000279,Steven Edwards,2000-06-15,Mizuho Holdings
CSE0000280,Audrey Evans,2021-05-03,HypoVereinsbank
CSE0000281,Steven Edwards,2003-05-21,Dai-ichi Mutual Life Insurance
CSE0000282,Yang Penglong,2021-10-06,China Merchants Bank
CSE0000283,Miriam Evans,2018-08-03,Texaco
CSE0000284,Miriam Evans,2013-06-15,PDVSA
CSE0000285,Steven Edwards,2000-08-13,Toshiba
CSE0000286,Steven Edwards,2002-04-07,Toshiba
CSE0000287,Steven Edwards,2020-12-25,Nissho Iwai
CSE0000288,Kong Yibo,2003-05-18,China Petroleum
CSE0000289,Audrey Evans,2008-03-21,BNP Paribas
CSE0000290,Audrey Evans,2006-10-25,Robert Bosch
CSE0000291,Miriam Evans,2015-08-18,MetLife
CSE0000292,Miriam Evans,2013-12-25,Sears Roebuck
CSE0000293,Kong Yibo,2003-06-19,Industrial and Commercial Bank of China
CSE0000294,Kong Yibo,2013-01-09,China Construction Bank
CSE0000295,Miriam Evans,2010-12-11,PDVSA
CSE0000296,Miriam Evans,2018-01-25,Reliant Energy
CSE0000297,Steven Edwards,2018-09-19,SK
CSE0000298,Miriam Evans,2013-03-02,Texaco
CSE0000299,Audrey Evans,2011-06-27,Zurich Financial Services
CSE0000300,Miriam Evans,2004-08-23,Procter & Gamble
CSE0000301,Audrey Evans,2018-08-23,Nestlиж
CSE0000302,Steven Edwards,2006-02-15,Hyundai
CSE0000303,Audrey Evans,2013-05-29,Tesco
CSE0000304,Audrey Evans,2018-03-30,AXA
CSE0000305,Audrey Evans,2016-08-30,Deutsche Post
CSE0000306,Miriam Evans,2000-08-03,Motorola
CSE0000307,Steven Edwards,2012-08-09,Hitachi
CSE0000308,Audrey Evans,2013-05-15,Alcatel
CSE0000309,Audrey Evans,2005-11-24,Royal Bank of Scotland
CSE0000310,Audrey Evans,2009-12-11,HSBC Holdings
CSE0000311,Miriam Evans,2004-09-28,Compaq Computer
CSE0000312,Steven Edwards,2013-12-28,Dai-ichi Mutual Life Insurance
CSE0000313,Miriam Evans,2013-10-03,Dynegy
CSE0000314,Steven Edwards,2009-07-24,Meiji Life Insurance
CSE0000315,Audrey Evans,2014-07-06,Deutsche Telekom
CSE0000316,Audrey Evans,2019-04-25,Deutsche Telekom
CSE0000317,Audrey Evans,2021-11-27,BMW
CSE0000318,Steven Edwards,2006-08-17,Sony
CSE0000319,Audrey Evans,2018-04-25,UBS
CSE0000320,Steven Edwards,2019-11-11,Meiji Life Insurance
CSE0000321,Miriam Evans,2010-11-29,Intel
CSE0000322,Kong Yibo,2008-06-27,Agricultural Bank of China
CSE0000323,Miriam Evans,2006-01-08,Kmart
CSE0000324,Steven Edwards,2001-01-17,Samsung Electronics
CSE0000325,Steven Edwards,2001-08-27,Sumitomo Life Insurance
CSE0000326,Miriam Evans,2013-04-21,Allstate
CSE0000327,Miriam Evans,2015-07-03,Merrill Lynch
CSE0000328,Miriam Evans,2005-09-13,U.S. Postal Service
CSE0000329,Yang Penglong,2011-05-08,Tencent
CSE0000330,Miriam Evans,2008-10-16,Dell Computer
CSE0000331,Miriam Evans,2001-02-02,J.C. Penney
CSE0000332,Steven Edwards,2010-03-26,Mizuho Holdings
CSE0000333,Audrey Evans,2017-07-22,Carrefour
CSE0000334,Kong Yibo,2008-03-16,China Petroleum
CSE0000335,Xu Zhuyu,2007-11-01,Bilibili
CSE0000336,Audrey Evans,2012-10-24,Tesco
CSE0000337,Audrey Evans,2006-04-17,Fortis
CSE0000338,Steven Edwards,2011-06-25,Dai-ichi Mutual Life Insurance
CSE0000339,Audrey Evans,2015-05-18,Prudential
CSE0000340,Miriam Evans,2014-05-10,SBC Communications
CSE0000341,Miriam Evans,2000-08-12,PDVSA
CSE0000342,Audrey Evans,2017-07-30,ABN AMRO Holding
CSE0000343,Miriam Evans,2022-02-03,Hewlett-Packard
CSE0000344,Miriam Evans,2017-04-02,AT&T
CSE0000345,Audrey Evans,2011-01-14,DaimlerChrysler
CSE0000346,Audrey Evans,2004-07-23,HypoVereinsbank
CSE0000347,Steven Edwards,2005-08-07,Nippon Telegraph & Telephone
CSE0000348,Kong Yibo,2001-04-19,Sinopec
CSE0000349,Miriam Evans,2015-01-18,State Farm Insurance Cos.
CSE0000350,Steven Edwards,2010-10-17,Samsung
CSE0000351,Miriam Evans,2002-08-14,Boeing
CSE0000352,Miriam Evans,2013-12-08,Ingram Micro
CSE0000353,Miriam Evans,2008-01-19,Procter & Gamble
CSE0000354,Miriam Evans,2016-05-16,Merck
CSE0000355,Miriam Evans,2011-07-22,Philip Morris
CSE0000356,Miriam Evans,2014-06-07,State Farm Insurance Cos.
CSE0000357,Kong Yibo,2006-07-21,China Construction Bank
CSE0000358,Miriam Evans,2002-03-28,SBC Communications
CSE0000359,Audrey Evans,2007-03-01,Vivendi Universal
CSE0000360,Miriam Evans,2016-08-11,U.S. Postal Service
CSE0000361,Miriam Evans,2003-12-09,AT&T
CSE0000362,Steven Edwards,2007-05-10,Mitsubishi Electric
CSE0000363,Miriam Evans,2018-03-13,Merrill Lynch
CSE0000364,Miriam Evans,2000-07-29,Merrill Lynch
CSE0000365,Audrey Evans,2021-09-21,BMW
CSE0000366,Miriam Evans,2000-08-14,Cardinal Health
CSE0000367,Yang Penglong,2006-09-06,Netease
CSE0000368,Miriam Evans,2000-03-05,Ingram Micro
CSE0000369,Miriam Evans,2011-05-24,Morgan Stanley Dean Witter
CSE0000370,Miriam Evans,2016-03-15,Kmart
CSE0000371,Miriam Evans,2022-02-17,Boeing
CSE0000372,Steven Edwards,2000-09-17,Hitachi
CSE0000373,Kong Yibo,2013-02-06,State Power Corporation
CSE0000374,Miriam Evans,2006-12-13,Costco Wholesale
CSE0000375,Yang Penglong,2011-10-12,Ping An Insurance (Group) Company Of China
CSE0000376,Miriam Evans,2015-07-12,Albertson's
CSE0000377,Kong Yibo,2017-09-25,China Construction Bank
CSE0000378,Kong Yibo,2002-10-02,Xiaomi
CSE0000379,Audrey Evans,2002-08-02,Fortis
CSE0000380,Miriam Evans,2000-12-17,Duke Energy
CSE0000381,Miriam Evans,2005-11-28,Compaq Computer
CSE0000382,Miriam Evans,2005-06-11,Berkshire Hathaway
CSE0000383,Audrey Evans,2011-02-26,Renault
CSE0000384,Kong Yibo,2013-10-04,Xiaomi
CSE0000385,Steven Edwards,2021-11-30,Nippon Life Insurance
CSE0000386,Steven Edwards,2009-01-16,Sony
CSE0000387,Audrey Evans,2002-11-22,Tesco
CSE0000388,Audrey Evans,2000-03-12,L.M. Ericsson
CSE0000389,Kong Yibo,2018-05-11,Sina
CSE0000390,Steven Edwards,2011-03-22,Samsung
CSE0000391,Miriam Evans,2016-10-03,Merrill Lynch
CSE0000392,Miriam Evans,2006-01-10,PDVSA
CSE0000393,Kong Yibo,2004-01-04,Bank Of China
CSE0000394,Miriam Evans,2015-05-07,State Farm Insurance Cos.
CSE0000395,Miriam Evans,2018-07-10,General Motors
CSE0000396,Miriam Evans,2000-09-27,American International Group
CSE0000397,Miriam Evans,2018-10-05,Wal-Mart Stores
CSE0000398,Miriam Evans,2010-09-09,Conoco
CSE0000399,Steven Edwards,2001-11-03,Toshiba
CSE0000400,Audrey Evans,2014-12-05,Prudential
CSE0000401,Steven Edwards,2020-05-26,Mitsubishi Motors
CSE0000402,Audrey Evans,2009-04-11,Nestlиж
CSE0000403,Kong Yibo,2022-02-13,Xiaomi
CSE0000404,Audrey Evans,2019-07-31,Unilever
CSE0000405,Miriam Evans,2007-10-22,Intl. Business Machines
CSE0000406,Audrey Evans,2014-06-21,Munich Re Group
CSE0000407,Miriam Evans,2013-04-17,Intel
CSE0000408,Audrey Evans,2014-05-30,ENI
CSE0000409,Audrey Evans,2016-06-19,Royal Philips Electronics
CSE0000410,Kong Yibo,2000-03-04,China North Industries Group Corporation
CSE0000411,Steven Edwards,2020-02-20,Sony
CSE0000412,Audrey Evans,2009-02-15,Suez
CSE0000413,Steven Edwards,2007-03-14,Nippon Life Insurance
CSE0000414,Audrey Evans,2005-10-23,Zurich Financial Services
CSE0000415,Steven Edwards,2018-01-11,Nissho Iwai
CSE0000416,Miriam Evans,2013-06-20,PDVSA
CSE0000417,Steven Edwards,2002-05-21,Honda Motor
CSE0000418,Audrey Evans,2005-12-03,Alcatel
CSE0000419,Audrey Evans,2004-04-14,Koninklijke Ahold
CSE0000420,Yang Penglong,2008-09-22,Netease
CSE0000421,Miriam Evans,2022-02-19,General Motors
CSE0000422,Kong Yibo,2016-07-21,China Electronics Technology Group Corporation
CSE0000423,Audrey Evans,2016-02-01,Crижdit Agricole
CSE0000424,Audrey Evans,2001-09-04,ABN AMRO Holding
CSE0000425,Yang Penglong,2004-02-25,Netease
CSE0000426,Audrey Evans,2008-07-08,BT
CSE0000427,Audrey Evans,2014-11-29,AXA
CSE0000428,Steven Edwards,2018-09-13,Mitsui
CSE0000429,Audrey Evans,2010-12-27,Deutsche Bank
CSE0000430,Audrey Evans,2002-09-06,Deutsche Post
CSE0000431,Audrey Evans,2011-05-31,HypoVereinsbank
CSE0000432,Audrey Evans,2002-02-16,Nestlиж
CSE0000433,Miriam Evans,2011-05-10,Compaq Computer
CSE0000434,Miriam Evans,2006-04-14,MetLife
CSE0000435,Audrey Evans,2006-02-14,Fiat
CSE0000436,Audrey Evans,2020-03-09,BASF
CSE0000437,Steven Edwards,2005-07-17,Toyota Motor
CSE0000438,Audrey Evans,2021-11-02,Unilever
CSE0000439,Miriam Evans,2006-03-09,Dynegy
CSE0000440,Audrey Evans,2020-04-02,Vivendi Universal
CSE0000441,Steven Edwards,2019-08-25,Sumitomo
CSE0000442,Audrey Evans,2005-11-15,Suez
CSE0000443,Miriam Evans,2008-05-14,General Motors
CSE0000444,Audrey Evans,2001-09-17,CGNU
CSE0000445,Yang Penglong,2020-06-22,China Merchants Bank
CSE0000446,Miriam Evans,2003-06-07,MetLife
CSE0000447,Xu Zhuyu,2013-01-16,MiHoYo
CSE0000448,Miriam Evans,2005-10-07,WorldCom
CSE0000449,Xu Zhuyu,2004-12-21,Bilibili
CSE0000450,Miriam Evans,2016-12-06,McKesson HBOC
CSE0000451,Steven Edwards,2013-03-18,Itochu
CSE0000452,Miriam Evans,2000-08-15,Kroger
CSE0000453,Audrey Evans,2016-05-09,Renault
CSE0000454,Miriam Evans,2015-08-13,Lucent Technologies
CSE0000455,Kong Yibo,2009-08-16,China Construction Bank
CSE0000456,Audrey Evans,2021-04-19,BNP Paribas
CSE0000457,Steven Edwards,2018-03-23,Toshiba
CSE0000458,Audrey Evans,2021-06-06,Assicurazioni Generali
CSE0000459,Miriam Evans,2017-02-10,Albertson's
CSE0000460,Miriam Evans,2006-03-13,Bank of America Corp.
CSE0000461,Miriam Evans,2018-06-16,Goldman Sachs Group
CSE0000462,Steven Edwards,2004-09-03,Nissho Iwai
CSE0000463,Kong Yibo,2001-06-01,Sinopec
CSE0000464,Audrey Evans,2013-11-18,Munich Re Group
CSE0000465,Miriam Evans,2017-02-20,Chevron
CSE0000466,Miriam Evans,2010-09-03,E.I. du Pont de Nemours
CSE0000467,Kong Yibo,2004-01-23,Xiaomi
